month,lvl1,lvl2,total_out_amt,txn_rows
2025-07,材料采购,货款,54089.75,8
2025-07,人力成本,工资,45823.09,1
2025-07,租金物业,租金,26799.01,1
2025-07,未分类,,9278.00,3
2025-07,销售费用,营销费,6100.00,1
2025-07,管理费用,,5553.07,5
2025-07,租金物业,空调费,1199.00,1
2025-07,销售费用,,1000.00,1
2025-07,材料采购,食材,568.40,1
2025-07,材料采购,包装,546.00,1
2025-07,材料采购,耗材,514.80,1
2025-07,手续费,,40.50,5
2025-06,未分类,,39984.63,9
2025-06,材料采购,货款,36377.32,11
2025-06,租金物业,租金,14594.96,1
2025-06,装修,施工费,14385.00,1
2025-06,材料采购,物料,2435.10,1
2025-06,管理费用,,653.21,1
2025-06,手续费,,40.50,5
2025-06,手续费,服务费,5.00,1
2025-05,装修,装修费,138400.00,3
2025-05,管理费用,系统使用费,80000.00,1
2025-05,材料采购,物料,76791.77,1
2025-05,未分类,,75421.83,5
